subject_id,group,threshold_type,previous_global_run,current_global_run,delta
e21,experimental,distractor,1,2,0.010000000000000009
e21,experimental,distractor,2,3,0.019999999999999962
e21,experimental,distractor,3,4,0.0
e21,experimental,distractor,4,5,0.0
e21,experimental,distractor,5,6,0.0
e21,experimental,distractor,6,7,0.0
e21,experimental,distractor,7,8,0.03500000000000003
e21,experimental,distractor,8,9,0.03500000000000003
e21,experimental,distractor,9,10,-0.010000000000000009
e21,experimental,distractor,10,11,0.020000000000000018
e21,experimental,distractor,11,12,0.03499999999999992
e21,experimental,distractor,12,13,0.010000000000000009
e21,experimental,distractor,13,14,0.0
e21,experimental,distractor,14,15,0.0
e21,experimental,distractor,15,16,0.020000000000000018
e21,experimental,distractor,16,17,0.0
e21,experimental,distractor,17,18,0.03500000000000003
e21,experimental,distractor,18,19,0.03499999999999992
e21,experimental,distractor,19,20,0.03500000000000003
e21,experimental,distractor,20,21,-0.04999999999999999
e21,experimental,distractor,21,22,0.034999999999999976
e21,experimental,distractor,22,23,0.0
e21,experimental,distractor,23,24,0.03500000000000003
e21,experimental,distractor,24,25,-0.04999999999999999
e21,experimental,distractor,25,26,0.0
e21,experimental,distractor,26,27,0.020000000000000018
e21,experimental,distractor,27,28,0.0
e21,experimental,distractor,28,29,0.034999999999999976
e21,experimental,distractor,29,30,0.010000000000000009
e21,experimental,distractor,30,31,0.0
e21,experimental,distractor,31,32,-0.050000000000000044
e21,experimental,distractor,32,33,0.025000000000000022
e21,experimental,distractor,33,34,0.0
e21,experimental,distractor,34,35,0.010000000000000009
e21,experimental,distractor,35,36,0.020000000000000018
e21,experimental,no_distractor,1,2,0.050000000000000044
e21,experimental,no_distractor,2,3,0.020000000000000018
e21,experimental,no_distractor,3,4,0.0
e21,experimental,no_distractor,4,5,0.0
e21,experimental,no_distractor,5,6,0.0
e21,experimental,no_distractor,6,7,0.0
e21,experimental,no_distractor,7,8,0.04999999999999993
e21,experimental,no_distractor,8,9,0.020000000000000018
e21,experimental,no_distractor,9,10,0.0
e21,experimental,no_distractor,10,11,0.020000000000000018
e21,experimental,no_distractor,11,12,0.050000000000000044
e21,experimental,no_distractor,12,13,0.020000000000000018
e21,experimental,no_distractor,13,14,-0.050000000000000044
e21,experimental,no_distractor,14,15,0.0
e21,experimental,no_distractor,15,16,0.020000000000000018
e21,experimental,no_distractor,16,17,0.0
e21,experimental,no_distractor,17,18,0.0
e21,experimental,no_distractor,18,19,-0.020000000000000018
e21,experimental,no_distractor,19,20,0.020000000000000018
e21,experimental,no_distractor,20,21,0.0
e21,experimental,no_distractor,21,22,0.0
e21,experimental,no_distractor,22,23,0.0
e21,experimental,no_distractor,23,24,-0.050000000000000044
e21,experimental,no_distractor,24,25,-0.020000000000000018
e21,experimental,no_distractor,25,26,-0.04999999999999993
e21,experimental,no_distractor,26,27,0.0
e21,experimental,no_distractor,27,28,0.0
e21,experimental,no_distractor,28,29,0.0
e21,experimental,no_distractor,29,30,0.020000000000000018
e21,experimental,no_distractor,30,31,0.0
e21,experimental,no_distractor,31,32,-0.10000000000000009
e21,experimental,no_distractor,32,33,0.0
e21,experimental,no_distractor,33,34,0.050000000000000044
e21,experimental,no_distractor,34,35,0.020000000000000018
e21,experimental,no_distractor,35,36,0.020000000000000018
e22,experimental,distractor,1,2,0.04999999999999999
e22,experimental,distractor,2,3,0.0
e22,experimental,distractor,3,4,0.0
e22,experimental,distractor,4,5,0.0
e22,experimental,distractor,5,6,0.010000000000000009
e22,experimental,distractor,6,7,0.0
e22,experimental,distractor,7,8,0.03500000000000003
e22,experimental,distractor,8,9,0.019999999999999962
e22,experimental,distractor,9,10,0.024999999999999967
e22,experimental,distractor,10,11,0.020000000000000018
e22,experimental,distractor,11,12,0.0
e22,experimental,distractor,12,13,0.020000000000000018
e22,experimental,distractor,13,14,0.0
e22,experimental,distractor,14,15,0.0
e22,experimental,distractor,15,16,0.04999999999999999
e22,experimental,distractor,16,17,-0.010000000000000009
e22,experimental,distractor,17,18,-0.024999999999999967
e22,experimental,distractor,18,19,-0.010000000000000009
e22,experimental,distractor,19,20,0.0
e22,experimental,distractor,20,21,0.020000000000000018
e22,experimental,distractor,21,22,0.0
e22,experimental,distractor,22,23,0.0
e22,experimental,distractor,23,24,-0.025000000000000022
e22,experimental,distractor,24,25,0.0
e22,experimental,distractor,25,26,0.020000000000000018
e22,experimental,distractor,26,27,0.0
e22,experimental,distractor,27,28,0.0
e22,experimental,distractor,28,29,0.0
e22,experimental,distractor,29,30,-0.050000000000000044
e22,experimental,distractor,30,31,0.0
e22,experimental,distractor,31,32,0.03500000000000003
e22,experimental,distractor,32,33,0.010000000000000009
e22,experimental,distractor,33,34,0.020000000000000018
e22,experimental,distractor,34,35,0.009999999999999953
e22,experimental,distractor,35,36,0.020000000000000018
e22,experimental,no_distractor,1,2,0.050000000000000044
e22,experimental,no_distractor,2,3,0.0
e22,experimental,no_distractor,3,4,0.0
e22,experimental,no_distractor,4,5,0.0
e22,experimental,no_distractor,5,6,0.050000000000000044
e22,experimental,no_distractor,6,7,0.0
e22,experimental,no_distractor,7,8,0.019999999999999907
e22,experimental,no_distractor,8,9,0.020000000000000018
e22,experimental,no_distractor,9,10,0.020000000000000018
e22,experimental,no_distractor,10,11,0.020000000000000018
e22,experimental,no_distractor,11,12,-0.020000000000000018
e22,experimental,no_distractor,12,13,0.0
