subject_id,group,threshold_type,slope_per_run,intercept,n_runs,first_global_run,last_global_run
e21,experimental,distractor,0.009674388674388674,0.20769047619047612,36,1,36
e21,experimental,no_distractor,-0.0006576576576576546,0.33299999999999996,36,1,36
e22,experimental,distractor,0.004825611325611324,0.2686428571428571,36,1,36
e22,experimental,no_distractor,0.003498069498069502,0.28250793650793654,36,1,36
e23,control,distractor,0.0016666666666666648,0.17888888888888896,36,1,36
e23,control,no_distractor,0.0014234234234234244,0.1414444444444444,36,1,36
e24,control,distractor,0.0008906048906048889,0.2690793650793651,36,1,36
e24,control,no_distractor,0.005366795366795369,0.3190476190476191,36,1,36
e25,experimental,distractor,-0.003306949806949809,0.2724285714285715,36,1,36
e25,experimental,no_distractor,0.004368082368082369,0.25641269841269837,36,1,36
e26,experimental,distractor,0.001561776061776064,0.21096825396825394,36,1,36
e26,experimental,no_distractor,-0.0023590733590733545,0.22780952380952368,36,1,36
e27,control,distractor,0.001350594553126201,0.1905316455696202,35,1,36
e27,control,no_distractor,0.004030686612965091,0.24027848101265825,35,1,36
e29,experimental,distractor,0.0007110682110682147,0.18309523809523812,36,1,36
e29,experimental,no_distractor,0.007061776061776066,0.21463492063492062,36,1,36
e30,experimental,distractor,0.0010559845559845544,0.2261587301587302,36,1,36
e30,experimental,no_distractor,-0.0024401544401544376,0.2751428571428572,36,1,36
e31,experimental,distractor,-0.00046782496782496604,0.2093492063492063,36,1,36
e31,experimental,no_distractor,-0.0012277992277992269,0.2782698412698414,36,1,36
e32,experimental,distractor,0.0002329472329472386,0.267079365079365,36,1,36
e32,experimental,no_distractor,0.0004350064350064383,0.26139682539682535,36,1,36
e33,control,distractor,0.0031563706563706526,0.2842460317460318,36,1,36
e33,control,no_distractor,-0.0011364221364221364,0.2690793650793651,36,1,36
e36,control,distractor,0.003604247104247105,0.2892936507936507,36,1,36
e36,control,no_distractor,0.0039034749034749096,0.3436190476190475,36,1,36
e37,control,distractor,0.0019182754182754168,0.16270634920634924,36,1,36
e37,control,no_distractor,-0.0014530244530244552,0.21660317460317466,36,1,36
e38,experimental,distractor,0.0010360360360360365,0.31805555555555554,36,1,36
e38,experimental,no_distractor,0.0027297297297297326,0.18477777777777774,36,1,36
e39,experimental,distractor,0.003323037323037324,0.2638015873015873,36,1,36
e39,experimental,no_distractor,0.005471042471042472,0.229063492063492,36,1,36
e40,control,distractor,0.003906692406692409,0.1956428571428571,36,1,36
e40,control,no_distractor,-0.003308880308880311,0.2614920634920636,36,1,36
e41,experimental,distractor,-4.18275418275423e-05,0.2042460317460317,36,1,36
e41,experimental,no_distractor,0.0006808236808236814,0.3043492063492063,36,1,36
e42,control,distractor,-0.00010682110682110524,0.2555873015873016,36,1,36
e42,control,no_distractor,-0.00044015444015444116,0.28425396825396826,36,1,36
e43,control,distractor,0.0039768339768339765,0.29670634920634925,36,1,36
e43,control,no_distractor,-0.0004066924066924087,0.2525238095238096,36,1,36
e44,experimental,distractor,0.002317889317889323,0.2776746031746031,36,1,36
e44,experimental,no_distractor,-0.0009652509652509668,0.2223015873015873,36,1,36
e45,control,distractor,0.0014575289575289594,0.23456349206349203,36,1,36
e45,control,no_distractor,-0.002238095238095235,0.27390476190476193,36,1,36
e46,experimental,distractor,0.0028063063063063073,0.22655555555555554,36,1,36
e46,experimental,no_distractor,-0.0022857142857142824,0.35450793650793644,36,1,36
e47,control,distractor,0.005205276705276707,0.2202301587301587,36,1,36
e47,control,no_distractor,0.003974259974259977,0.23592063492063486,36,1,36
e48,control,distractor,-0.0018030888030888003,0.22585714285714278,36,1,36
e48,control,no_distractor,0.004774774774774776,0.15888888888888886,36,1,36
e49,experimental,distractor,0.0011737451737451779,0.2952301587301586,36,1,36
e49,experimental,no_distractor,0.0012316602316602325,0.22304761904761902,36,1,36
e50,control,distractor,-0.0008989703989703961,0.22760317460317459,36,1,36
e50,control,no_distractor,0.004525096525096527,0.2701746031746031,36,1,36
e51,experimental,distractor,-0.0030212355212355176,0.2532539682539681,36,1,36
e51,experimental,no_distractor,-0.004790218790218788,0.31584126984126987,36,1,36
e52,control,distractor,0.0006428571428571465,0.2596349206349206,36,1,36
e52,control,no_distractor,-0.000701415701415698,0.29269841269841274,36,1,36
e53,control,distractor,0.0072567567567567584,0.16894444444444437,36,1,36
e53,control,no_distractor,0.004602316602316605,0.2254126984126984,36,1,36
e54,control,distractor,0.0010888030888030883,0.26096825396825407,36,1,36
e54,control,no_distractor,0.0006306306306306336,0.27444444444444444,36,1,36
e55,experimental,distractor,0.00021171171171171466,0.29483333333333334,36,1,36
e55,experimental,no_distractor,0.0001801801801801859,0.3083333333333333,36,1,36
