subject_id,evaluation_task,session_id,run_id,n_epochs,n_channels,n_samples,n_status_fixations,n_status_stimuli,n_status_responses,max_abs_residual_baseline_mean
e21,session1_training_pre,1,1,60,61,768,60,60,60,4.146225846317761e-13
e21,session1_training_pre,1,2,60,61,768,60,60,60,2.3127469438466005e-13
e21,session1_training_pre,1,3,60,61,768,60,60,60,3.678103573346401e-13
e21,session1_training_pre,1,4,60,61,768,60,60,60,3.7226866469627214e-13
e21,session1_training_pre,1,5,60,61,768,60,60,60,2.786442101020001e-13
e21,session1_training_pre,1,6,60,61,768,60,60,60,2.496652122513921e-13
e21,session1_training_pre,1,7,60,61,768,60,60,60,1.8056144814609606e-13
e21,session1_training_pre,1,8,60,61,768,60,60,60,2.6749844169792013e-13
e21,decoding,1,1,60,61,768,60,60,60,5.823663991131801e-14
e21,decoding,1,2,60,61,768,60,60,60,2.6749844169792013e-13
e21,decoding,1,3,60,61,768,60,60,60,1.0672073246906605e-13
e21,decoding,1,4,60,61,768,60,60,60,1.9282179339058405e-13
e21,decoding,1,5,60,61,768,60,60,60,2.4409232804935205e-13
e21,decoding,1,6,60,61,768,60,60,60,3.053940542717921e-13
e21,decoding,2,1,60,61,768,60,60,60,2.128841765179281e-13
e21,decoding,2,2,60,61,768,60,60,60,2.424204627887401e-13
e21,decoding,2,3,60,61,768,60,60,60,2.8491370482929514e-14
e21,decoding,2,4,60,61,768,60,60,59,2.5189436593220813e-13
e21,decoding,2,5,60,61,768,60,60,60,1.2288209665498202e-13
e21,decoding,2,6,60,61,768,60,60,57,1.3542108610957206e-13
e21,decoding,2,7,60,61,768,60,60,59,3.979039320256561e-13
e21,decoding,2,8,60,61,768,60,60,60,3.343730521224001e-14
e21,decoding,3,1,60,61,768,60,60,60,1.7220212184303606e-13
e21,decoding,3,2,60,61,768,60,60,60,9.334581038417003e-14
e21,decoding,3,3,60,61,768,60,60,60,7.467664830733603e-14
e21,decoding,3,4,60,61,768,60,60,60,6.436681253356203e-14
e21,decoding,3,5,60,61,768,60,60,60,5.767935149111401e-14
e21,decoding,3,6,60,61,768,60,60,60,7.941359987907003e-14
e21,decoding,3,7,60,61,768,60,60,60,7.356207146692802e-14
e21,decoding,3,8,60,61,768,60,60,60,1.7053025658242404e-13
e21,decoding,4,1,60,61,768,60,60,60,3.053940542717921e-13
e21,decoding,4,2,60,61,768,60,60,60,1.9505094707140006e-13
e21,decoding,4,3,60,61,768,60,60,59,1.8167602498650408e-13
e21,decoding,4,4,60,61,768,60,60,60,1.2304928318104324e-12
e21,decoding,4,5,60,61,768,60,60,60,9.942025416439362e-13
e21,decoding,4,6,60,61,768,60,60,59,7.913495566896802e-13
e21,decoding,4,7,60,61,768,60,60,60,2.0508213863507205e-12
e21,decoding,4,8,60,61,768,60,60,59,1.2750759054267522e-12
e21,decoding,5,1,60,61,768,60,60,60,1.6830110290160805e-13
e21,decoding,5,2,60,61,768,60,60,60,3.2768559107995213e-13
e21,decoding,5,3,60,61,768,60,60,60,2.429777512089441e-13
e21,decoding,5,4,60,61,768,60,60,60,1.1535870298222802e-13
e21,decoding,5,5,60,61,768,60,60,60,3.0650863111220006e-14
e21,decoding,5,6,60,61,768,60,60,60,2.864462479848561e-13
e22,session1_training_pre,1,1,60,61,768,60,60,60,1.8279060182691205e-13
e22,session1_training_pre,1,2,60,61,768,60,60,60,2.262590986028241e-13
e22,session1_training_pre,1,3,60,61,768,60,60,60,2.585818269746561e-13
e22,session1_training_pre,1,4,60,61,768,60,60,60,2.201289259805801e-13
e22,session1_training_pre,1,5,60,61,768,60,60,60,3.510917047285201e-13
e22,session1_training_pre,1,6,60,61,768,60,60,60,2.385194438473121e-13
e22,session1_training_pre,1,7,60,61,768,60,60,60,2.557953848736361e-13
e22,session1_training_pre,1,8,60,61,768,60,60,60,2.173424838795601e-13
e22,decoding,1,1,60,61,768,60,60,60,6.380952411335803e-14
e22,decoding,1,2,60,61,768,60,60,60,2.5913911539486006e-14
e22,decoding,1,3,60,61,768,60,60,60,3.288001679203601e-14
e22,decoding,1,4,60,61,768,60,60,60,3.859222309912701e-14
e22,decoding,1,5,60,61,768,60,60,60,8.080682092958002e-14
e22,decoding,1,6,60,61,768,60,60,60,1.8947806286936004e-14
e22,decoding,2,1,60,61,768,60,60,60,2.3406113648568005e-14
e22,decoding,2,2,60,61,768,60,60,60,1.3263464400855204e-13
e22,decoding,2,3,60,61,768,60,60,60,1.7944687130568807e-13
e22,decoding,2,4,60,61,768,60,60,60,8.024953250937604e-14
e22,decoding,2,5,60,61,768,60,60,60,5.1409856763819014e-14
e22,decoding,2,6,60,61,768,60,60,60,2.195716375603761e-13
e22,decoding,2,7,60,61,768,60,60,60,1.5046787345508006e-13
e22,decoding,2,8,60,61,768,60,60,60,1.1173632825090202e-13
e22,decoding,3,1,60,61,768,60,60,60,2.864462479848561e-13
e22,decoding,3,2,60,61,768,60,60,60,2.262590986028241e-13
e22,decoding,3,3,60,61,768,60,60,60,3.822998562599441e-13
e22,decoding,3,4,60,61,768,60,60,60,1.5771262291773206e-13
e22,decoding,3,5,60,61,768,60,60,60,1.7833229446528004e-13
e22,decoding,3,6,60,61,768,60,60,60,2.284882522836401e-13
e22,decoding,3,7,60,61,768,60,60,60,1.7331669868344406e-13
e22,decoding,3,8,60,61,768,60,60,60,1.6384279553997607e-13
e22,decoding,4,1,60,61,768,60,60,60,3.3855271527393015e-14
e22,decoding,4,2,60,61,768,60,60,60,2.5774589434435007e-14
e22,decoding,4,3,60,61,768,60,60,60,3.5387814682954016e-14
e22,decoding,4,4,60,61,768,60,60,60,2.7376793642521508e-14
e22,decoding,4,5,60,61,768,60,60,60,3.0302557848592514e-14
e22,decoding,4,6,60,61,768,60,60,60,2.5913911539486006e-14
e22,decoding,4,7,60,61,768,60,60,60,6.576003358407202e-14
e22,decoding,4,8,60,61,768,60,60,60,2.4311707331399502e-14
e22,decoding,5,2,60,61,768,60,60,60,1.2037429876406406e-13
e22,decoding,5,3,60,61,768,60,60,60,8.164275355988602e-14
e22,decoding,5,4,60,61,768,60,60,60,8.498648408111002e-14
e22,decoding,5,5,60,61,768,60,60,60,2.4137554700085756e-14
e22,decoding,5,6,60,61,768,60,60,60,5.5171553600196014e-14
e22,decoding,5,7,60,61,768,60,60,60,7.955292198412103e-14
e23,session1_training_pre,1,1,60,61,768,60,60,60,1.2538989454590004e-13
e23,session1_training_pre,1,2,60,61,768,60,60,60,1.1758785666304404e-13
e23,session1_training_pre,1,3,60,61,768,60,60,60,6.208193001072562e-13
e23,session1_training_pre,1,4,60,61,768,60,60,60,9.223123354376202e-14
e23,session1_training_pre,1,5,60,61,768,60,60,60,2.8198794062322413e-13
e23,session1_training_pre,1,6,60,61,768,60,60,60,2.418631743685361e-13
e23,session1_training_pre,1,7,60,61,768,60,60,60,2.953628627081201e-13
e23,session1_training_pre,1,8,60,61,768,60,60,60,7.941359987907003e-14
e23,decoding,1,1,60,61,768,60,60,58,3.7895612573872014e-14
