subject_id,group,qc_status,n_runs,n_trials,n_channels,n_samples,max_abs_residual_baseline_mean,n_runs_with_non60_responses
e21,bci,pass,44.0,2640.0,61.0,768.0,2.0508213863507205e-12,6.0
e22,bci,pass,44.0,2640.0,61.0,768.0,3.822998562599441e-13,0.0
e23,control,pass,44.0,2640.0,61.0,768.0,6.208193001072562e-13,3.0
e24,control,pass,44.0,2640.0,61.0,768.0,5.546134357870209e-12,15.0
e25,bci,pass,44.0,2640.0,61.0,768.0,4.658931192905441e-13,1.0
e26,bci,pass,44.0,2640.0,61.0,768.0,1.2215762170871682e-12,3.0
e27,control,pass,43.0,2580.0,61.0,768.0,6.865793336913282e-13,20.0
e29,bci,failed,,,,,,
e30,bci,pass,43.0,2580.0,61.0,768.0,1.4890746587850883e-12,2.0
e31,bci,pass,44.0,2640.0,61.0,768.0,2.8666916335293767e-12,5.0
e32,bci,pass,44.0,2640.0,61.0,768.0,7.356207146692802e-13,15.0
e33,control,pass,44.0,2640.0,61.0,768.0,5.956298635140353e-12,10.0
e36,control,pass,44.0,2640.0,61.0,768.0,6.152464159052162e-13,9.0
e37,control,pass,44.0,2640.0,61.0,768.0,6.431108369154162e-13,7.0
e38,bci,pass,44.0,2640.0,61.0,768.0,1.1983930188066819e-11,5.0
e39,bci,pass,44.0,2640.0,61.0,768.0,3.979039320256561e-13,0.0
e40,control,pass,44.0,2640.0,61.0,768.0,1.6049906501875204e-12,18.0
e41,bci,pass,44.0,2640.0,61.0,768.0,4.748097340138082e-13,0.0
e42,control,pass,44.0,2640.0,61.0,768.0,2.6125681139163527e-12,3.0
e43,control,pass,44.0,2640.0,61.0,768.0,2.8265668672746888e-12,21.0
e44,bci,pass,44.0,2640.0,61.0,768.0,4.848409255774801e-13,9.0
e45,control,pass,44.0,2640.0,61.0,768.0,6.598294895215362e-12,2.0
e46,bci,pass,44.0,2640.0,61.0,768.0,2.5412351961302407e-13,24.0
e47,control,pass,44.0,2640.0,61.0,768.0,3.1932626477689206e-13,3.0
e48,control,pass,44.0,2640.0,61.0,768.0,1.8412809403540164e-12,7.0
e49,bci,pass,44.0,2640.0,61.0,768.0,7.579122514774402e-13,3.0
e50,control,pass,44.0,2640.0,61.0,768.0,1.7476564857597444e-11,2.0
e51,bci,pass,44.0,2640.0,61.0,768.0,5.294239991938002e-13,6.0
e52,control,pass,43.0,2580.0,61.0,768.0,4.803826182158481e-13,10.0
e53,control,pass,44.0,2640.0,61.0,768.0,8.381617839868162e-13,10.0
e54,control,pass,44.0,2640.0,61.0,768.0,2.6393179580861446e-12,5.0
e55,bci,pass,44.0,2640.0,61.0,768.0,1.3999085115524484e-12,13.0
